Quarter end,Shares,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Goodwill & intangibles,Long-term debt,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Dividend per share,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Capital expenditures,Price,Price high,Price low,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Dividend payout ratio,Long-term debt to equity ratio,Equity to assets ratio,Net margin,Asset turnover,Free cash flow per share,Current ratio,Adj Close,Beta,Correlation,Cumulative Return,Date,Kurtosis,SPY Cumulative Return,Sharpe Ratio,Standard Deviation,Target,Ticker Name
2002-07-31,466705920,8437000000,4979000000,3436000000,1958000000,5001000000,780000000,1150000000,1391000000,-228000000,-228000000,-0.49,-0.49,0.0,-181000000,-70000000,56000000,-130000000,2105000000,58000000,23.63,31.25,16.0,-0.1236,-0.0788,10.72,2.14,None,0.0,None,0.23,0.5927,None,0.68,-0.51,2.5429,11.9821,1.4588416980558392,0.6125227851332462,-0.34009069243746504,2002-7-31,0.9029788682831392,-0.2473601132296941,-0.043665259955899066,0.0334444996142195,1,A
2002-10-31,467024421,8203000000,4880000000,3576000000,2181000000,4627000000,685000000,1150000000,1736000000,-236000000,-236000000,-0.5,-0.5,0.0,-142000000,-106000000,-12000000,-261000000,1844000000,88000000,14.69,18.88,10.5,-0.2053,-0.1237,9.91,1.37,None,0.0,None,0.2485,0.5641,None,0.72,-0.49,2.2375,8.726367,1.3794858653930333,0.6235607289300804,-0.3825776194153697,2002-10-31,0.5186877752484436,-0.16420390480862712,-0.046074006045819425,0.03538460441317338,1,A
2003-01-31,471242690,7770000000,4559000000,3421000000,2023000000,4349000000,422000000,1150000000,1412000000,-369000000,-369000000,-0.78,-0.78,0.0,-91000000,-47000000,48000000,-90000000,1754000000,48000000,16.75,20.3,13.19,-0.2274,-0.1331,9.23,1.69,None,0.0,None,0.2644,0.5597,None,0.73,-0.29,2.2536,10.458952,1.4253754538746546,0.6176977596072499,-0.45700158627494736,2003-1-31,3.8043121972666345,-0.2428773233949646,-0.04938770422390727,0.03903818522033047,1,A
2003-04-30,471304178,7617000000,4309000000,3416000000,2006000000,4201000000,414000000,1150000000,1467000000,-146000000,-146000000,-0.31,-0.31,0.0,-191000000,-34000000,4000000,-221000000,1533000000,31000000,14.06,16.82,11.3,-0.2154,-0.1223,8.91,1.52,None,0.0,None,0.2737,0.5515,None,0.75,-0.47,2.1481,10.167012,1.3745753359078752,0.5679577392048272,-0.4668884754764008,2003-4-30,7.436086571271608,-0.14857190363521544,-0.047624738434775736,0.041313694658927286,1,A
2003-07-31,475507676,5990000000,3750000000,3270000000,1788000000,2720000000,391000000,1150000000,1502000000,-1556000000,-1556000000,-3.28,-3.28,0.0,-91000000,-65000000,53000000,-103000000,1430000000,63000000,19.06,22.64,15.48,-0.5805,-0.312,5.72,2.14,None,0.0,None,0.4228,0.4541,None,0.83,-0.32,2.0973,13.790835999999999,1.5039509382109972,0.582594921452808,0.1509531718146233,2003-7-31,9.882488354788897,0.08631886469317762,0.012985805881537358,0.038797183005391436,-1,A
2003-10-31,476149083,6297000000,3889000000,3473000000,1906000000,2824000000,402000000,1150000000,1675000000,13000000,13000000,0.03,0.03,0.0,229000000,-57000000,5000000,177000000,1607000000,57000000,23.39,26.48,20.31,-0.5841,-0.2975,5.93,4.09,None,0.0,None,0.4072,0.4485,None,0.88,0.36,2.0404,15.815351000000001,1.650073856736062,0.563387815965101,0.8123637247894802,2003-10-31,18.310682389916487,0.1862242019709155,0.09373566690324392,0.033599322469309995,-1,A
2004-01-31,480754478,6384000000,3986000000,3315000000,1745000000,3069000000,410000000,1150000000,1643000000,71000000,71000000,0.15,0.14,0.0,40000000,-34000000,65000000,71000000,1678000000,29000000,31.88,38.8,24.97,-0.5051,-0.2462,6.38,5.38,None,0.0,None,0.3747,0.4807,None,0.96,0.02,2.2842,23.393015,1.4880814232784831,0.5077687549683506,1.2366500008796293,2004-1-31,26.8825560629902,0.3218768132961065,0.17481152355743101,0.027724716911618583,-1,A
2004-04-30,481450987,6675000000,4255000000,3488000000,1906000000,3187000000,393000000,1150000000,1831000000,104000000,104000000,0.22,0.21,0.0,172000000,-27000000,19000000,164000000,1842000000,27000000,32.27,37.62,26.91,-0.4637,-0.2159,6.62,5.06,None,0.0,None,0.3608,0.4775,None,1.05,0.3,2.2324,17.14176,1.693732264969528,0.6334809577070083,0.68601748478314,2004-4-30,1.085411512487143,0.20762996720510984,0.12045703828860405,0.021950315039272424,-1,A
2004-07-31,485605849,6741000000,4398000000,3412000000,1814000000,3329000000,388000000,1150000000,1885000000,100000000,100000000,0.21,0.2,0.0,42000000,0,53000000,95000000,1937000000,-2000000,26.16,29.68,22.63,0.0928,0.0441,6.86,3.95,None,0.0,0,0.3454,0.4938,0.0409,1.08,0.09,2.4245,15.110899,1.7950660291723743,0.5983192576705975,0.09572030296060374,2004-7-31,1.2471332138549016,0.11250009918611359,0.012904705346967294,0.021920780384876767,-1,A
2004-10-31,486841087,7056000000,4577000000,3487000000,1871000000,3569000000,443000000,1150000000,1822000000,74000000,74000000,0.14,0.16,0.0,409000000,-53000000,8000000,364000000,2315000000,28000000,22.41,25.31,19.51,0.1061,0.052,7.33,3.27,38.64,0.0,0,0.3222,0.5058,0.0486,1.07,0.78,2.4463,15.904203,1.9870309040937275,0.5985979885631765,0.005618085871126111,2004-10-31,1.3348387488362312,0.07565359894784507,-0.0033030050152858983,0.023471855524501834,1,A
2005-01-31,491163718,7150000000,4649000000,3382000000,1771000000,3768000000,459000000,1150000000,1658000000,103000000,103000000,0.21,0.21,0.0,137000000,-57000000,81000000,168000000,2483000000,37000000,23.66,25.9,21.43,0.11,0.0552,7.67,3.23,33.32,0.0,0,0.3052,0.527,0.0529,1.04,0.2,2.6251,14.031998999999999,1.9407460141609643,0.5727493518966122,-0.3929160409574034,2005-1-31,3.7125581368114338,0.040528169401474745,-0.07157560512335995,0.023355222228977523,1,A
2005-04-30,491356787,7268000000,4813000000,3399000000,1765000000,3869000000,458000000,1150000000,1688000000,95000000,95000000,0.19,0.19,0.0,205000000,20000000,-22000000,202000000,2685000000,6000000,22.55,24.99,20.11,0.1024,0.0527,7.87,2.94,28.91,0.0,0,0.2972,0.5323,0.0527,1,0.41,2.7269,13.16888,1.5862122217670827,0.49330830719391544,-0.23176616636798097,2005-4-30,5.042155237463746,0.044748419405154394,-0.04692013648655032,0.021889635077390123,1,A
2005-07-31,494178148,7352000000,4926000000,3404000000,1771000000,3948000000,461000000,1150000000,1688000000,104000000,104000000,0.21,0.21,0.0,138000000,-85000000,53000000,97000000,2782000000,52000000,23.67,26.63,20.72,0.0992,0.0522,7.99,3.01,31.14,0.0,0,0.2913,0.537,0.0548,0.95,0.17,2.7815,16.653086,1.4128816888178708,0.4609710486548752,0.09196847661381224,2005-7-31,6.851374514338929,0.11526997485708712,0.013165768482252068,0.020346241604988935,-1,A
