Quarter end,Shares,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Goodwill & intangibles,Long-term debt,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Dividend per share,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Capital expenditures,Price,Price high,Price low,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Dividend payout ratio,Long-term debt to equity ratio,Equity to assets ratio,Net margin,Asset turnover,Free cash flow per share,Current ratio,Adj Close,Beta,Correlation,Cumulative Return,Date,Kurtosis,SPY Cumulative Return,Sharpe Ratio,Standard Deviation,Target,Ticker Name
2012-04-30,347500865,9413000000,6010000000,4688000000,1835000000,4722000000,1991000000,1926000000,1733000000,255000000,255000000,0.73,0.72,0.0,353000000,-57000000,-60000000,234000000,3896000000,37000000,45.31,50.68,39.94,0.2492,0.1216,13.59,3.5,15.31,2.16,0.0315,0.4079,0.5016,0.1627,0.75,0.91,3.2752,28.474978999999998,1.7774474198277113,0.8578853177435578,-0.16187414321987614,2012-4-30,1.7442081682483588,0.026953808922628664,-0.024853128046781213,0.030076559034037352,-1,A
2012-07-31,348443140,9757000000,4211000000,4884000000,2090000000,4870000000,4035000000,1714000000,1723000000,243000000,243000000,0.7,0.69,0.1,240000000,-2200000000,-7000000,-1973000000,1923000000,49000000,48.31,55.33,41.29,0.2211,0.109,13.98,3.55,15.48,2.26,0.0684,0.35200000000000004,0.4991,0.1491,0.73,0.55,2.0148,25.91762,1.7823701316073879,0.8664884155889832,-0.05667268093056155,2012-7-31,1.7005406206196483,0.07178268546721567,-0.010822973737567793,0.03018493176124644,-1,A
2012-10-31,347934544,10536000000,4629000000,5351000000,1893000000,5182000000,4111000000,2112000000,1767000000,425000000,425000000,1.22,1.21,0.1,485000000,-92000000,28000000,428000000,2351000000,62000000,35.73,42.78,28.67,0.2393,0.1189,14.89,2.56,12.36,2.36,0.0905,0.4076,0.4918,0.1681,0.71,1.22,2.4453,24.424112,1.6591104959549123,0.7715133596292738,-0.02182355939008418,2012-10-31,1.5441588693113175,0.12675335417624334,-0.009028915473071242,0.02074382445144626,1,A
2013-01-31,347159281,10653000000,4712000000,5302000000,1846000000,5348000000,4140000000,2111000000,1680000000,179000000,179000000,0.52,0.51,0.1,245000000,-72000000,-63000000,99000000,2450000000,58000000,40.5,45.55,35.45,0.2191,0.1092,15.41,2.72,12.39,2.46,0.0947,0.3947,0.502,0.1596,0.68,0.54,2.5525,30.463822999999998,1.5518254814317658,0.7050003452935982,0.0649353187165358,2013-1-31,1.7656577633076704,0.14149537582703364,0.009022538176592718,0.017704693705875577,1,A
2013-04-30,344476029,10587000000,4818000000,5279000000,1908000000,5305000000,4001000000,2106000000,1732000000,166000000,166000000,0.48,0.48,0.12,315000000,-71000000,-165000000,69000000,2519000000,50000000,42.92,45.66,40.19,0.1957,0.0976,15.4,2.79,13.71,2.58,0.1438,0.397,0.5011,0.1468,0.66,0.77,2.5252,28.27223,1.4571758701233086,0.6791311587474067,-0.00712025108078207,2013-4-30,2.328603043144915,0.14282744035300343,-0.0074381972187343584,0.017273137636029216,1,A
2013-07-31,330791981,10278000000,4584000000,5488000000,1550000000,4787000000,3940000000,2701000000,1652000000,168000000,168000000,0.5,0.49,0.12,215000000,-54000000,-332000000,-189000000,2330000000,53000000,44.36,47.47,41.24,0.1819,0.0892,14.47,2.88,15.35,2.7,0.1605,0.5642,0.4658,0.1373,0.65,0.49,2.9574,30.602062,1.2664396916458687,0.6069090692362377,0.18074352506132896,2013-7-31,3.5896164780586832,0.22214572832690704,0.04072645311182004,0.015296546903675982,1,A
2013-10-31,331808500,10686000000,4983000000,5397000000,1602000000,5286000000,3963000000,2699000000,1718000000,211000000,211000000,0.62,0.62,0.12,377000000,-51000000,6000000,345000000,2675000000,32000000,49.39,53.47,45.32,0.1397,0.0686,15.93,3.41,18.36,2.82,0.2149,0.5106,0.4947,0.1068,0.64,1.04,3.1105,34.807682,1.225772561675648,0.6476457192686255,0.42513602951050977,2013-10-31,0.8565114798571769,0.24386754808839184,0.11400428241171394,0.01403933329681292,-1,A
2014-01-31,333420524,10638000000,5073000000,5191000000,1549000000,5444000000,3876000000,2695000000,1679000000,195000000,195000000,0.59,0.58,0.132,194000000,-47000000,-68000000,67000000,2742000000,45000000,55.53,61.22,49.84,0.1422,0.0702,16.33,3.49,26.44,2.95,0.2228,0.495,0.5118,0.1091,0.64,0.45,3.275,39.967040999999995,1.1787387171477537,0.5984575270934518,0.3119509327506267,2014-1-31,5.579787047340051,0.18989258722549662,0.08141631981465819,0.014097956449216171,-1,A
2014-04-30,333260908,11026000000,5377000000,5397000000,1719000000,5626000000,3892000000,2693000000,1731000000,139000000,139000000,0.41,0.41,0.13,325000000,-55000000,-72000000,208000000,2950000000,51000000,56.21,60.46,51.96,0.1349,0.0669,16.88,3.44,25.9,3.08,0.234,0.4787,0.5102,0.1052,0.64,0.82,3.128,37.232105,1.1684625140112774,0.5767073302481233,0.31691433608173103,2014-4-30,7.721417681613356,0.17925975993541887,0.08055690694988611,0.014494813524224751,-1,A
2014-07-31,333512738,10380000000,4834000000,4740000000,1579000000,5637000000,3770000000,2181000000,1766000000,147000000,147000000,0.44,0.43,0.13,28000000,-70000000,-518000000,-559000000,2391000000,52000000,56.62,59.58,53.66,0.1259,0.0648,16.9,3.35,26.96,3.21,0.2464,0.3869,0.5431,0.1004,0.65,-0.07,3.0614,38.732929,1.2028137183995615,0.5676636597885251,0.2656967037057829,2014-7-31,9.169026121553554,0.14530207500966452,0.06897771726634744,0.01395793965035796,-1,A
2014-10-31,335321802,10831000000,5500000000,5530000000,1702000000,5298000000,3566000000,2762000000,1805000000,23000000,23000000,0.07,0.07,0.13,164000000,-58000000,561000000,637000000,3028000000,43000000,54.6,59.4,49.8,0.0916,0.047,15.8,3.23,26.76,3.34,0.3458,0.5213,0.4892,0.0722,0.65,0.36,3.2315,38.26236,1.2503015579226622,0.6080550344031478,0.09925044707085062,2014-10-31,8.3669496556445,0.14887791009243245,0.020814161778036726,0.014269216865451736,-1,A
2015-01-31,335810297,7519000000,3654000000,3279000000,928000000,4237000000,2911000000,1658000000,1026000000,72000000,72000000,0.21,0.21,15.85,-20000000,-31000000,-828000000,-100000000,2118000000,32000000,40.34,42.99,37.68,0.0733,0.0383,12.62,2.55,27.07,19.19,14.312,0.3913,0.5635,0.0602,0.64,-0.15,3.9375,36.637015999999996,1.3155293020033394,0.6839967445573522,-0.08331927800209171,2015-1-31,3.560514242912646,0.11915248489623775,-0.03050870674852368,0.014201752816983408,-1,A
2015-04-30,333191751,7412000000,3620000000,3251000000,930000000,4158000000,2857000000,1656000000,963000000,83000000,83000000,0.25,0.25,0.1,183000000,-7000000,-101000000,79000000,2197000000,9000000,40.65,43.59,37.71,0.0673,0.036,12.48,3.22,36.29,19.29,16.7473,0.3983,0.561,0.0585,0.62,0.52,3.8925,40.227859,1.3077466908885218,0.7446346707078121,0.08046158013359728,2015-4-30,0.2644994124480178,0.10698801148778503,0.01727474629150935,0.01284223321088241,-1,A
2015-07-31,331403231,7251000000,3478000000,3145000000,853000000,4103000000,2850000000,1655000000,1014000000,103000000,103000000,0.31,0.31,0.1,91000000,-87000000,-110000000,-122000000,2075000000,19000000,40.7,42.93,38.48,0.0632,0.034,12.38,3.26,42.4,19.39,19.3333,0.4034,0.5659,0.0584,0.58,0.22,4.0774,39.919136,1.275853061688451,0.7468241459374308,0.03062528527083508,2015-7-31,0.1394477064106554,0.08969427196437074,0.001719067368196303,0.013089156073591915,1,A
2015-10-31,332170890,7479000000,3686000000,3309000000,976000000,4167000000,2811000000,1655000000,1035000000,143000000,143000000,0.43,0.43,0.1,237000000,-275000000,-29000000,-72000000,2003000000,26000000,37.23,41.35,33.12,0.0962,0.0541,12.54,3.01,44.32,19.49,13.5219,0.3972,0.5572,0.0993,0.54,0.64,3.7766,36.916286,1.2445236649392106,0.8204960568238433,-0.03518010912029479,2015-10-31,0.2988685037725527,0.030380841164162842,-0.01690832189125415,0.014236802329017174,1,A
2016-01-31,327770081,7302000000,3399000000,3254000000,947000000,4045000000,2991000000,1653000000,1028000000,123000000,123000000,0.37,0.37,0.115,104000000,-28000000,-132000000,-72000000,1931000000,38000000,39.24,42.48,36.01,0.1098,0.0614,12.34,3.13,32.7,19.6,0.3039,0.4087,0.5539999999999999,0.1119,0.55,0.2,3.5892,36.909397,1.1328646489779466,0.8005532917935668,-0.01652074955293059,2016-1-31,0.3884006698619271,-0.03988914909930963,-0.011552951826267983,0.01437580634882411,1,A
2016-04-30,325521700,7640000000,3488000000,3475000000,1133000000,4162000000,3046000000,1654000000,1019000000,91000000,91000000,0.28,0.28,0.115,256000000,-108000000,30000000,208000000,2139000000,25000000,38.08,42.0,34.15,0.1117,0.062,12.79,3.09,28,19.72,0.3076,0.3974,0.5448,0.1123,0.55,0.71,3.0786,40.231171,1.1921889584132979,0.8193790131261701,8.233100349697153e-05,2016-4-30,0.22192733863923797,-0.009690656435640932,-0.006554480388756171,0.015206495416019759,1,A
2016-07-31,324384755,7734000000,3530000000,3388000000,1151000000,4343000000,2967000000,1652000000,1044000000,124000000,124000000,0.38,0.38,0.115,199000000,-24000000,-110000000,60000000,2199000000,24000000,44.28,48.18,40.39,0.1151,0.0638,13.39,3.46,31.86,19.83,0.3028,0.3804,0.5615,0.1166,0.55,0.54,3.0669,47.424766999999996,1.2079102297158006,0.8196478479358765,0.18802087800697875,2016-7-31,0.6810899386035265,0.03315841845485368,0.04136336914870955,0.015764758177302846,1,A
2016-10-31,321747881,7802000000,3635000000,3556000000,945000000,4243000000,2925000000,1912000000,1111000000,124000000,124000000,0.39,0.37,0.11,234000000,-78000000,-56000000,90000000,2289000000,52000000,45.87,48.63,43.11,0.11,0.0606,13.19,3.43,31.42,19.94,0.32,0.4506,0.5438,0.1099,0.55,0.57,3.8466,43.056118,1.2751075527569062,0.7496537205781508,0.14123245717070176,2016-10-31,1.6457921194102392,0.010503482562358002,0.031155263025451595,0.014922994818018166,1,A
2017-01-31,322300905,7872000000,3635000000,3572000000,1089000000,4297000000,2974000000,1802000000,1067000000,168000000,168000000,0.52,0.52,0.132,116000000,-101000000,-58000000,-48000000,2241000000,32000000,46.2,49.48,42.92,0.119,0.0653,13.33,3.5,33,20.08,0.3011,0.4194,0.5459,0.1195,0.55,0.26,3.3379,48.532555,1.4491340714749499,0.7282177288653706,0.3135152193161286,2017-1-31,1.960216849777276,0.17505084672665805,0.08092036678015341,0.014261686188347333,1,A
2017-04-30,321337443,8016000000,3800000000,3641000000,1187000000,4372000000,2941000000,1802000000,1102000000,164000000,164000000,0.51,0.5,0.132,257000000,-43000000,-67000000,148000000,2389000000,43000000,52.23,55.99,48.47,0.1345,0.0738,13.61,3.92,33.7,20.21,0.2718,0.4122,0.5454,0.1341,0.55,0.67,3.2013,54.693642000000004,1.3975183472701873,0.6602643039599343,0.3337352561837521,2017-4-30,3.128187978438558,0.14546250841558472,0.09487250742290974,0.013016848171094041,1,A
2017-07-31,321828003,8261000000,3996000000,3650000000,1241000000,4608000000,2987000000,1801000000,1114000000,175000000,175000000,0.55,0.54,0.132,228000000,-101000000,29000000,174000000,2563000000,43000000,58.6,61.84,55.36,0.1441,0.079,14.32,4.31,33.11,20.34,0.2581,0.3908,0.5578,0.1436,0.55,0.57,3.22,59.535258999999996,1.4107960091505627,0.5906203380050093,0.26165599453948074,2017-7-31,2.994007332301761,0.1379465777582416,0.07829339838783032,0.012090725369574241,1,A
